model,accuracy,precision,recall,f1
RandomForest_FullModel (tuned),0.7067085953878407,0.5079207920792079,0.7169811320754716,0.594610257896262
RandomForest_FullModel,0.7492662473794549,0.617148554336989,0.43256464011180995,0.5086277732128184
RandomForest_CompositionOnly,0.7174004192872118,0.5637480798771122,0.2564640111809923,0.3525456292026897
