feature,importance
note__sicilian lemon,0.0009404865358396814
note__palisander rosewood,0.0009351963039695819
note__star anise,0.0009325023732790025
note__thyme,0.0009314483723967603
note__salt,0.0009150844615981681
note__rhubarb,0.0009081663836833946
note__cherry,0.0008971245131639525
note__lilac,0.0008766482067604864
note__pink grapefruit,0.0008442405877300454
note__angelica,0.0008426103980494617
note__strawberry,0.0008405067318207547
note__egyptian jasmine,0.0008208519022160148
note__pomegranate,0.0008140716642268679
note__citron,0.0007973707378489128
note__green leaves,0.000769039559908523
note__coumarin,0.0007636391522522808
note__oak,0.0007566999198971304
note__licorice,0.0007512195978097256
note__watermelon,0.0007388415010441466
note__brazilian rosewood,0.0007383608295808536
note__birch,0.0007358106396896754
note__sea water,0.0007348649602793719
note__watery notes,0.0007108987334517368
note__balsam fir,0.000702817627316432
note__immortelle,0.0006967406784094306
note__milk,0.0006955843351897392
note__red fruits,0.0006891058658356548
note__sugar,0.0006863344535759956
note__white pepper,0.0006859000147277362
note__cumin,0.0006770683364328202
note__red currant,0.0006697763244927367
note__french labdanum,0.0006632795215027681
note__hedione,0.0006577761895529433
note__bamboo,0.0006510335106360815
note__papyrus,0.0006488225616133366
note__cassia,0.0006450992252503125
note__myrhh,0.0006438928114541512
note__may rose,0.0006350324029988148
note__white woods,0.0006343937781426569
note__davana,0.0006320507320481787
note__powdery notes,0.0006290390436296562
note__civet,0.0006225634606921213
note__clementine,0.0006187645637191311
note__castoreum,0.0006143817323078306
note__hazelnut,0.000599138453498092
note__violet leaves,0.0005929286380015789
note__white amber,0.0005900405218462533
note__peru balsam,0.0005897413556168992
note__mate,0.0005835933084189597
note__lemon verbena,0.0005763141815829239
note__resins,0.0005742288992812752
note__granny smith apple,0.0005715866730892588
note__vetyver,0.0005687585390941576
note__whipped cream,0.0005681675780481382
note__fig leaf,0.0005401786713055825
note__bitter almond,0.0005353447433705083
note__tolu balsam,0.0005304157064917755
note__italian lemon,0.000528931409023252
note__chocolate,0.0005149331050482232
note__carrot seeds,0.0005105224479844654
note__nectarine,0.0005083500020121116
note__wormwood,0.0005068784698415857
note__chamomile,0.0004951983543721871
note__atlas cedar,0.0004928259589734695
note__vanilla orchid,0.0004906086439364732
note__white cedar extract,0.00047670322781506275
note__tarragon,0.00047580972513058215
note__dark chocolate,0.00047522809496977674
note__pomelo,0.00047405078058442566
note__vanila,0.00046667520672925806
note__driftwood,0.0004559934609725499
note__black tea,0.0004523939216347271
note__herbal notes,0.00044492804722588513
note__teak wood,0.0004417629091446207
note__cherry blossom,0.00043300211580913776
note__hibiscus,0.00043069883668509965
note__grass,0.0004278288365863158
note__pine tree,0.00042716731986309516
note__dried fruits,0.0004243032825643215
note__italian mandarin,0.00041560555996424846
note__cacao pod,0.00041544008386969406
note__sweet pea,0.0004134084245361779
note__sweet notes,0.0004031958245077316
note__vanilla absolute,0.0004030621764362018
note__sour cherry,0.0004030200576938475
note__peach blossom,0.00040245502734866323
note__pimento,0.00040165289579491503
note__ivy,0.0003983053423072469
note__indonesian patchouli leaf,0.00039473029612231594
note__ozonic notes,0.0003907281891270925
note__white honey,0.000376650482967107
note__coconut milk,0.0003703760210643851
note__quince,0.0003669743636489129
note__elemi resin,0.0003663746280746801
note__guava,0.0003574938229101311
note__fruits,0.00035714870474055205
note__myrtle,0.00035681642635789716
note__sicilian bergamot,0.0003567326933351446
note__amyris,0.0003521407695292807
note__pine,0.0003501698598947608
note__blueberry,0.00033855802029402577
note__cotton candy,0.00033276247332745667
note__marshmallow,0.0003309691099887043
note__sea salt,0.00032925573637925833
note__tobacco leaf,0.00032807114092950253
note__lily of the valley,0.00032519864293480204
note__eucalyptus,0.0003232067666848591
note__champagne,0.00032315206360658403
note__apple blossom,0.0003210109577884393
note__sweet orange,0.0003171367082757986
note__siam benzoin,0.0003148904311564512
note__champaca,0.00031427854303616365
note__beeswax,0.00031405751890328353
note__white peach,0.00031367006932524324
note__whiskey,0.00031291373342187705
note__bay leaf,0.0003116451415933357
note__indian jasmine,0.0003100074819069642
note__fir,0.00030575954948012266
note__cedarwood,0.0003047949033695139
note__marigold,0.0003047102760668722
note__seaweed,0.00030405553052326086
note__tagetes,0.00030288857242769185
note__rose petals,0.0003005817626511131
note__australian sandalwood,0.00029969522834056694
note__virginian cedar,0.00029115882213915354
note__hay,0.0002876044131602192
note__precious woods,0.00028689937446139756
note__cognac,0.000280548683127041
note__mahogany,0.0002800440492077303
note__kumquat,0.00027716881267843626
note__white rose,0.0002727932359444634
note__passion flower,0.00026882400461953205
note__cranberry,0.0002649389842110882
note__big strawberry,0.00026457452603935076
note__hawthorn,0.0002610223237387163
note__kiwi,0.000260285827421366
note__almond blossom,0.0002579926581863832
note__solar notes,0.0002518257658167362
note__white wood,0.00023655912561901745
note__pink peony,0.000224975336546335
note__smoke,0.00021341106271725608
note__flowers,0.0002068226315739866
note__rose de mai,0.0001970155954784378
note__white tea,0.00019476019176475386
note__gurjan balsam,0.00018183285761713778
note__wild berries,0.00015954108942697683
gender_nan,0.0
